質量,,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.01,,,,,,0.015,,,,,,0.02,,,,,,0.03,,,,,,0.04,,,,,,0.05,,,,,,0.06,,,,,,0.08,,,,,,0.1,,,,,,0.15,,,,,,0.2,,,,,,0.3,,,,,,0.4,,,,,,0.5,,,,,,0.6,,,,,,0.8,,,,,,1,,,,,,2,,,,,,4,,,,,,6,,,,,,8,,,,,,10,,,,
,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope,,no. ,mean,error,vov,slope
6.817,Adrenal_left,100,0.00E+00,0,0,0,,100,0.00E+00,0,0,0,,100,1.00E-09,0.4923,0.3261,0,,100,6.50E-08,0.0743,0.01,0,,100,1.49E-07,0.0477,0.0056,10,,100,2.20E-07,0.0397,0.0051,10,,100,2.54E-07,0.036,0.0057,10,,100,3.51E-07,0.0321,0.0051,10,,100,4.19E-07,0.0297,0.0055,10,,100,5.82E-07,0.0262,0.0052,8.7,,100,7.70E-07,0.0261,0.0037,10,,100,1.21E-06,0.0264,0.003,10,,100,1.64E-06,0.0278,0.0035,10,,100,2.07E-06,0.0284,0.0037,10,,100,2.47E-06,0.0296,0.0041,10,,100,3.17E-06,0.0314,0.0046,10,,100,3.78E-06,0.0324,0.0048,10,,100,6.83E-06,0.0364,0.0062,10,,100,1.12E-05,0.0387,0.0084,10,,100,1.46E-05,0.0383,0.0084,10,,100,1.82E-05,0.0361,0.008,10,,100,2.06E-05,0.0342,0.0077,10
8.649,Adrenal_right,200,0.00E+00,0,0,0,,200,0.00E+00,0,0,0,,200,3.44E-10,1,1,0,,200,3.36E-08,0.0965,0.0154,0,,200,9.91E-08,0.0534,0.0066,10,,200,1.45E-07,0.0427,0.006,10,,200,1.98E-07,0.0379,0.0051,10,,200,2.64E-07,0.0326,0.0053,10,,200,3.12E-07,0.0288,0.0052,10,,200,4.80E-07,0.026,0.0035,10,,200,6.77E-07,0.0254,0.003,10,,200,1.13E-06,0.0261,0.003,10,,200,1.52E-06,0.027,0.0032,10,,200,1.85E-06,0.028,0.0034,10,,200,2.23E-06,0.0286,0.0035,10,,200,2.88E-06,0.0299,0.0041,10,,200,3.61E-06,0.0303,0.0041,10,,200,6.42E-06,0.0326,0.005,10,,200,1.06E-05,0.0348,0.0065,10,,200,1.48E-05,0.0345,0.0061,10,,200,1.88E-05,0.0342,0.0062,10,,200,2.23E-05,0.0324,0.0059,10
0.009,ET1(0-8),300,1.29E-09,1,1,0,,300,4.86E-07,0.5125,0.4879,0,,300,5.67E-07,0.4817,0.9634,0,,300,5.04E-07,0.435,0.9817,2,,300,7.72E-07,0.6073,0.9647,1.9,,300,2.14E-07,0.0542,0.0362,4.4,,300,5.10E-07,0.5683,0.9947,2.2,,300,7.50E-07,0.5113,0.8829,1.9,,300,5.99E-07,0.3032,0.5097,1.9,,300,1.06E-06,0.3817,0.5423,2,,300,2.15E-06,0.3948,0.3326,1.8,,300,2.05E-06,0.3446,0.4265,1.9,,300,2.25E-06,0.285,0.3702,1.9,,300,2.65E-06,0.3056,0.5365,2,,300,2.60E-06,0.2154,0.3884,2.1,,300,3.85E-06,0.1668,0.2293,2.2,,300,3.26E-06,0.1202,0.1281,3.3,,300,7.62E-06,0.1216,0.0932,2.9,,300,1.27E-05,0.1168,0.2544,3.1,,300,8.51E-06,1,0.9092,2.6,,300,2.11E-05,0.1289,0.2534,2.3,,300,2.89E-05,0.1254,0.1346,4.3
0.035,ET1(8-40),301,1.27E-09,1,1,0,,301,4.01E-07,0.2866,0.1505,0,,301,9.32E-07,0.2164,0.088,0,,301,6.82E-07,0.2405,0.2372,1.7,,301,6.03E-07,0.2975,0.3319,1.8,,301,5.80E-07,0.2972,0.5464,1.7,,301,9.34E-07,0.2979,0.2486,1.6,,301,5.41E-07,0.2186,0.2426,1.7,,301,8.73E-07,0.2741,0.4064,1.7,,301,7.51E-07,0.249,0.5235,2,,301,9.24E-07,0.1983,0.5163,2.1,,301,1.74E-06,0.3103,0.4662,1.9,,301,1.79E-06,0.2109,0.3431,2.1,,301,1.72E-06,0.1227,0.2616,2.5,,301,3.22E-06,0.2289,0.2498,1.9,,301,3.44E-06,0.1255,0.1807,3.7,,301,3.74E-06,0.1258,0.1836,3.7,,301,9.37E-06,0.1667,0.3364,2.2,,301,1.43E-05,0.1249,0.0918,2.6,,301,1.80E-05,0.1108,0.1047,2.4,,301,1.72E-05,0.1451,0.2525,4.3,,301,2.18E-05,0.1824,0.3183,2.8
0.011,ET1(40-50),302,1.26E-09,1,1,0,,302,2.29E-07,0.2676,0.2514,0,,302,6.58E-07,0.3655,0.4836,0,,302,6.16E-07,0.3927,0.85,2,,302,4.38E-07,0.3526,0.9367,2,,302,5.53E-07,0.4184,0.7707,1.8,,302,4.97E-07,0.4134,0.8538,1.9,,302,3.70E-07,0.1976,0.3708,1.8,,302,4.78E-07,0.2451,0.3768,1.8,,302,9.31E-07,0.3906,0.5587,1.9,,302,7.73E-07,0.2129,0.8038,2.2,,302,1.73E-06,0.3144,0.689,1.9,,302,1.55E-06,0.1782,0.4888,2,,302,1.91E-06,0.1857,0.5741,2.3,,302,3.11E-06,0.2917,0.7545,2.1,,302,4.12E-06,0.1687,0.1751,2.2,,302,4.45E-06,0.1927,0.3484,2.5,,302,1.38E-05,0.2983,0.7653,1.9,,302,1.13E-05,0.3012,0.6319,4.9,,302,1.65E-05,0.1246,0.1076,3.4,,302,1.94E-05,0.2262,0.3999,2.5,,302,2.51E-05,0.1106,0.0978,3.6
4.375,ET1(50-surface),303,1.48E-08,0.2118,0.1371,0,,303,2.97E-07,0.0446,0.0029,10,,303,6.01E-07,0.0299,0.0013,8.9,,303,5.95E-07,0.0283,0.0017,10,,303,4.71E-07,0.0311,0.0034,10,,303,4.31E-07,0.0331,0.0051,10,,303,4.16E-07,0.0333,0.0067,10,,303,4.57E-07,0.0316,0.0085,2.5,,303,5.22E-07,0.0295,0.0085,3.4,,303,7.84E-07,0.0273,0.0042,10,,303,1.06E-06,0.0284,0.004,10,,303,1.57E-06,0.0304,0.0043,10,,303,2.13E-06,0.0317,0.0045,10,,303,2.66E-06,0.0328,0.0047,10,,303,3.14E-06,0.0338,0.005,10,,303,4.00E-06,0.0351,0.0056,10,,303,4.68E-06,0.0365,0.0064,10,,303,8.16E-06,0.0389,0.0073,10,,303,1.36E-05,0.0391,0.0081,10,,303,1.68E-05,0.0374,0.0079,10,,303,1.99E-05,0.0378,0.0089,10,,303,2.19E-05,0.0357,0.0077,10
0.104,ET2(-15-0),400,0.00E+00,0,0,0,,400,7.78E-10,0.392,0.1863,0,,400,3.81E-08,0.5678,0.5309,0,,400,1.59E-07,0.3003,0.2611,1.6,,400,2.25E-07,0.2757,0.2575,1.9,,400,2.06E-07,0.2534,0.4641,2,,400,2.81E-07,0.2025,0.4276,1.8,,400,3.46E-07,0.1588,0.2033,1.7,,400,3.94E-07,0.1472,0.1824,1.7,,400,7.25E-07,0.1426,0.1128,1.6,,400,9.25E-07,0.1334,0.1143,1.6,,400,1.27E-06,0.1189,0.0976,1.6,,400,1.87E-06,0.1087,0.0848,1.6,,400,2.02E-06,0.0904,0.0897,1.6,,400,2.32E-06,0.0743,0.0579,1.7,,400,3.35E-06,0.1188,0.4709,1.8,,400,4.40E-06,0.0712,0.0469,2.3,,400,8.26E-06,0.0704,0.0753,2.3,,400,1.24E-05,0.065,0.1037,2.8,,400,1.88E-05,0.1086,0.7027,2.5,,400,2.28E-05,0.0651,0.4037,3.3,,400,2.75E-05,0.0723,0.1652,2.4
0.288,ET2(0-40),401,0.00E+00,0,0,0,,401,5.87E-09,0.9057,0.9961,0,,401,2.13E-08,0.4559,0.488,0,,401,6.72E-08,0.1545,0.6949,2.1,,401,1.44E-07,0.1652,0.2682,1.9,,401,2.18E-07,0.1532,0.1539,1.7,,401,2.31E-07,0.1493,0.1988,1.7,,401,2.99E-07,0.122,0.2044,1.6,,401,3.64E-07,0.1029,0.1253,1.6,,401,5.64E-07,0.09,0.0669,1.5,,401,7.85E-07,0.0949,0.0761,1.6,,401,1.07E-06,0.082,0.1102,1.6,,401,1.70E-06,0.0819,0.0586,1.6,,401,1.96E-06,0.0756,0.0992,1.8,,401,2.38E-06,0.0727,0.0655,1.7,,401,3.03E-06,0.061,0.0413,2.1,,401,4.03E-06,0.0596,0.0325,3.5,,401,7.44E-06,0.0548,0.0543,2.6,,401,1.15E-05,0.0385,0.0266,3.9,,401,1.46E-05,0.0491,0.0621,3.5,,401,1.93E-05,0.0422,0.0583,3.9,,401,2.68E-05,0.0624,0.2694,2.4
0.072,ET2(40-50),402,0.00E+00,0,0,0,,402,6.01E-10,0.3943,0.193,0,,402,8.45E-09,0.1694,0.2412,0,,402,8.21E-08,0.2977,0.9114,1.9,,402,1.05E-07,0.1285,0.7281,2,,402,1.49E-07,0.1349,0.4198,2,,402,2.31E-07,0.2517,0.7065,1.9,,402,2.89E-07,0.1779,0.3714,1.8,,402,4.11E-07,0.158,0.1426,1.7,,402,4.80E-07,0.1123,0.1154,1.8,,402,7.47E-07,0.133,0.1588,1.7,,402,1.53E-06,0.1137,0.0658,1.5,,402,1.77E-06,0.0926,0.0622,1.6,,402,2.30E-06,0.0979,0.1221,1.6,,402,2.50E-06,0.0863,0.0981,1.6,,402,2.85E-06,0.0717,0.0619,2.1,,402,3.69E-06,0.0604,0.0528,3.5,,402,6.04E-06,0.0965,0.3199,2.9,,402,1.35E-05,0.1147,0.7447,2.5,,402,1.79E-05,0.076,0.1866,2.5,,402,2.14E-05,0.0597,0.0823,2.8,,402,2.41E-05,0.0981,0.4495,2.6
0.036,ET2(50-55),403,0.00E+00,0,0,0,,403,6.01E-10,0.395,0.196,0,,403,6.17E-08,0.8634,0.9986,0,,403,5.35E-08,0.0622,0.1512,2.5,,403,9.65E-08,0.0815,0.6954,2.1,,403,1.36E-07,0.1467,0.5859,2.4,,403,1.84E-07,0.2323,0.5031,2.5,,403,2.93E-07,0.2352,0.3073,2,,403,5.56E-07,0.3305,0.407,1.9,,403,5.98E-07,0.1956,0.2273,1.8,,403,6.05E-07,0.1224,0.3575,1.9,,403,1.42E-06,0.1547,0.1297,1.6,,403,1.77E-06,0.0981,0.0667,1.5,,403,2.67E-06,0.1363,0.1642,1.6,,403,2.81E-06,0.1209,0.2014,1.6,,403,3.43E-06,0.0979,0.1275,1.8,,403,3.20E-06,0.1075,0.2658,2.9,,403,9.81E-06,0.19,0.6418,2.1,,403,1.38E-05,0.0807,0.1851,2.3,,403,2.09E-05,0.2385,0.4617,2,,403,3.66E-05,0.2311,0.4898,2,,403,2.95E-05,0.1449,0.6522,2.2
0.072,ET2(55-65),404,0.00E+00,0,0,0,,404,6.05E-10,0.396,0.2003,0,,404,3.65E-08,0.7708,0.9951,0,,404,6.40E-08,0.1078,0.2416,2,,404,1.17E-07,0.1135,0.2081,1.8,,404,1.91E-07,0.2614,0.7946,2,,404,2.60E-07,0.2536,0.5013,1.9,,404,2.95E-07,0.1812,0.2743,1.9,,404,3.81E-07,0.1566,0.1772,1.7,,404,5.65E-07,0.1566,0.2346,1.7,,404,7.45E-07,0.1131,0.1126,1.7,,404,1.31E-06,0.1088,0.0885,1.6,,404,2.24E-06,0.1159,0.1495,1.5,,404,2.06E-06,0.0865,0.1294,1.6,,404,2.81E-06,0.15,0.6323,1.7,,404,3.42E-06,0.1017,0.2527,1.9,,404,3.73E-06,0.0783,0.0795,2.9,,404,8.52E-06,0.161,0.7747,2.3,,404,1.27E-05,0.1514,0.4148,3,,404,1.51E-05,0.1065,0.5752,2.7,,404,2.13E-05,0.1345,0.3517,2.8,,404,2.36E-05,0.0405,0.0821,3.6
14.18,ET2(65-surface),405,0.00E+00,0,0,0,,405,1.23E-09,0.3274,0.1582,0,,405,1.54E-08,0.0961,0.0193,0,,405,8.92E-08,0.0386,0.0038,8,,405,1.62E-07,0.0292,0.003,10,,405,2.03E-07,0.0266,0.0032,10,,405,2.40E-07,0.024,0.0035,10,,405,3.05E-07,0.0204,0.0038,10,,405,3.86E-07,0.0193,0.0032,10,,405,5.82E-07,0.0171,0.0022,3.7,,405,8.23E-07,0.0171,0.0017,10,,405,1.27E-06,0.0177,0.0015,10,,405,1.68E-06,0.0184,0.0017,10,,405,2.12E-06,0.019,0.0019,10,,405,2.52E-06,0.0195,0.002,10,,405,3.37E-06,0.0203,0.0021,10,,405,4.11E-06,0.0206,0.0023,10,,405,7.09E-06,0.0211,0.0026,10,,405,1.18E-05,0.0197,0.0026,10,,405,1.59E-05,0.0189,0.0028,10,,405,2.03E-05,0.0181,0.0026,10,,405,2.36E-05,0.017,0.0025,10
0.066,Oral_mucosa_tongue,500,0.00E+00,0,0,0,,500,3.64E-10,0.4141,0.2938,0,,500,2.93E-09,0.1673,0.1061,0,,500,3.91E-08,0.0534,0.1239,3.1,,500,9.92E-08,0.1027,0.3631,2.3,,500,2.49E-07,0.2622,0.3188,2,,500,2.91E-07,0.2286,0.2812,1.8,,500,4.09E-07,0.2321,0.3413,1.7,,500,3.74E-07,0.1573,0.1589,1.7,,500,6.96E-07,0.1622,0.1808,1.6,,500,8.93E-07,0.1486,0.1012,1.7,,500,1.17E-06,0.1268,0.1314,1.7,,500,1.73E-06,0.1055,0.0975,1.5,,500,1.98E-06,0.1032,0.139,1.5,,500,2.97E-06,0.0945,0.0765,1.5,,500,3.60E-06,0.0975,0.1117,2.2,,500,4.01E-06,0.0915,0.1492,2.4,,500,8.63E-06,0.1755,0.7695,2.1,,500,1.12E-05,0.0765,0.2178,2.4,,500,1.65E-05,0.0683,0.2212,2.6,,500,3.32E-05,0.1513,0.2323,1.9,,500,2.60E-05,0.1244,0.2726,2.2
0.016,Oral_mucosa_mouth_floor,501,0.00E+00,0,0,0,,501,0.00E+00,0,0,0,,501,5.21E-10,0.5255,0.3451,0,,501,2.94E-08,0.103,0.1262,0,,501,7.39E-08,0.0572,0.0658,2.6,,501,1.04E-07,0.0566,0.3434,2.9,,501,2.44E-07,0.3892,0.8801,2,,501,3.16E-07,0.3064,0.4179,1.9,,501,3.24E-07,0.3007,0.5155,1.9,,501,8.38E-07,0.3308,0.3298,1.7,,501,1.02E-06,0.2903,0.304,1.7,,501,1.08E-06,0.216,0.3188,1.7,,501,1.99E-06,0.2082,0.1596,1.6,,501,2.11E-06,0.1896,0.1611,1.6,,501,3.32E-06,0.2221,0.3529,1.5,,501,3.98E-06,0.155,0.094,1.5,,501,3.55E-06,0.1648,0.1394,1.5,,501,7.73E-06,0.1278,0.0853,2.5,,501,1.04E-05,0.1266,0.1648,2.4,,501,1.13E-05,0.1785,0.3171,2.7,,501,2.01E-05,0.1343,0.1951,2.6,,501,1.87E-05,0.1588,0.2405,2.5
